,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
182,2005-01-24 06:38:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Shed Load,225.0,70717,"1/24/05, 6:50 a.m."
183,2005-01-24 12:27:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Shed Load,385.0,0,"1/24/05, 12:34 p.m."
184,2005-01-29 10:00:00+00:00,SERC,Parts of Alabama and Georgia,Ice Storm,100.0,150000,"1/31/05, 10:00 a.m"
185,2005-01-29 16:00:00+00:00,SERC,Georgia,Ice Storm,65.0,82000,"1/30/05, 3:00 p.m."
186,2005-02-01 17:28:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,460.0,0,"2/01/05, 6:01 p.m."
187,2005-02-15 13:12:00+00:00,PR,Island of Puerto Rico,Generator Loss,380.0,0,2/15/05 1:30 p.m.
188,2005-02-16 13:26:00+00:00,PR,Island of Puerto Rico,Load Shedding,325.0,139438,"2/16/05, 1:43 p.m."
189,2005-02-18 08:16:00+00:00,PR,Island of Puerto Rico,Generator Loss/Voltage Reduction,648.0,372288,"2/18/05, 8:41 a.m."
190,2005-02-24 00:58:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,200.0,0,"2/24/05, 1:05 a.m."
191,2005-03-08 11:00:00+00:00,SERC,Eastern and Central North Carolina,Wind Storms,180.0,51600,"3/08/05, 3:00 p.m."
192,2005-04-01 00:00:00+00:00,ECAR,"Cleveland, Ohio and northeast Ohio ",Winter Storm,0.0,211000,"4/06/05, 12:00 p.m. "
193,2005-04-22 15:51:00+00:00,WECC,"San Francisco Bay area, California",Lightning Strike,126.0,0,"4/22/05, 3:59 p.m."
194,2005-04-23 04:22:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,345.0,116552,"4/23/05, 4:48 a.m."
195,2005-04-23 06:00:00+00:00,ECAR,"Cleveland, Ohio and northeast Ohio ",Winter Storm,0.0,150000,"4/27/05, 6:00 a.m."
196,2005-04-30 08:00:00+00:00,SERC,Alabama and Georgia,Thunderstorms,100.0,51808,"4/30/05, 10:00 a.m."
197,2005-05-08 15:00:00+00:00,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,672.0,243000,"5/08/05, 10:00 p.m."
198,2005-05-11 19:00:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,529.0,0,"5/11/05, 8:31 p.m."
199,2005-05-29 20:00:00+00:00,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,328.0,123000,"5/30/05, 2:30 a.m."
200,2005-06-05 14:00:00+00:00,ECAR,Southeast  Michigan,Strong Thunderstorm/High Winds,1826.0,201580,"6/10/05, 7:30 a.m."
201,2005-06-05 14:00:00+00:00,ECAR,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,Strong Thunderstorm,50.0,105000,"6/07/05, 6:00 p.m."
202,2005-06-06 12:00:00+00:00,NPCC,Central/Eastern New York state,Strong Thunderstorms,0.0,65000,"6/08/05, 6:00 p.m."
203,2005-06-06 16:43:00+00:00,MAAC,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",Strong Thunderstorm,0.0,143000,"6/07/05, 10:00 p.m."
204,2005-06-08 04:00:00+00:00,MRO,Minnesota,Strong Thunderstorm,50.0,300000,"6/10/05, 10:00 p.m."
205,2005-06-20 11:16:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,35.0,600000,"6/20/05, 5:15 pm."
206,2005-06-24 20:37:00+00:00,MAIN,"Chicago, Illinois",Transmission Equipment Failure,350.0,51500,"6/24/05, 11:06 p.m."
207,2005-06-28 11:30:00+00:00,WECC,Denver Metropolitan area of Colorado,Fuel Supply Deficiency/Coal Rail Transportation Interruption,0.0,0,Ongoing
208,2005-06-29 16:30:00+00:00,ECAR,Southeast  Michigan,Strong Thunderstorm/High Winds,1000.0,114711,"7/04/05, 11:30 p.m."
209,2005-07-02 01:27:00+00:00,PR,Island of Puerto Rico,Load Shedding,226.0,132290,"7/02/05, 1:46 a.m."
210,2005-07-05 21:00:00+00:00,SPP,"Southeast and Northeast, Louisiana including the New Orleans area",Tropical Storm Cindy,0.0,287000,"7/06/05, 9:00 a.m."
211,2005-07-10 08:00:00+00:00,SERC,"Alabama, Mississippi, Florida, Georgia",Hurricane Dennis,45.0,228102,"7/12/05, 8:00 a.m."
212,2005-07-10 12:53:00+00:00,SERC,Southwest Alabama and Western Panhandle of Florida,Hurricane Dennis,51.0,50000,"7/11/05, 5:33 pm."
213,2005-07-21 14:39:00+00:00,WECC,Southern California,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,197.0,128050,"7/21/05, 5:30 p.m."
214,2005-07-22 13:55:00+00:00,WECC,Southern California ,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,206.0,133900,"7/22/05, 6:00 p.m."
215,2005-07-23 01:02:00+00:00,MAAC,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorms,0.0,55118,"7/26/05, 10:50 a.m."
216,2005-07-27 16:50:00+00:00,MAAC,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",Severe Thunderstorms,0.0,93837,"7/28/05, 9:24 p.m."
217,2005-07-27 17:50:00+00:00,MAAC,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorm,0.0,64943,"7/30/05, 9:07 p.m."
218,2005-07-27 18:00:00+00:00,MAAC,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",Severe Thunderstorms,0.0,87600,"7/29/05, 4:00 p.m."
219,2005-07-28 20:30:00+00:00,SERC,Piedmont North and South Carolina,Severe Thunderstorm,300.0,52200,"8/01/05, 5:00 p.m."
220,2005-08-01 10:28:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,175.0,47116,"8/01/05, 10:47 a.m."
221,2005-08-08 12:38:00+00:00,WECC,"San Francisco Bay area, California",Plant Tripped,240.0,0,"8/08/05, 4:00 p.m."
222,2005-08-19 19:37:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,259.0,71864,"8/19/05, 8:15 p.m."
223,2005-08-20 14:15:00+00:00,ECAR,Northwest Arkansas,Severe Thunderstorms,650.0,50797,"8/20/05, 4:21 p.m. "
224,2005-08-25 15:50:00+00:00,WECC,Southern California,CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,0.0,0,"8/25/05, 8:00 p.m."
225,2005-08-25 15:51:00+00:00,WECC,Southern California,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,864.0,409000,"8/25/05,  8:00 p.m."
226,2005-08-29 01:10:00+00:00,SPP,East and Southeast Louisiana,Hurricane Katrina,300.0,143000,"8/29/05, 12:42 p.m."
227,2005-08-29 06:00:00+00:00,SPP,"Buras, Louisiana",Hurricane Katrina,0.0,0,"8/30/05, 6:00 a.m."
228,2005-08-29 07:10:00+00:00,FRCC,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,0.0,0,"9/07/05, 3:00 p.m."
229,2005-08-29 07:10:00+00:00,SERC,"Alabama, Florida, Mississippi",Hurricane Katrina ,5120.0,512049,"8/29/05, 10:00 p.m."
230,2005-08-29 15:50:00+00:00,SERC,"Alabama, Mississippi,  Tennessee",Hurricane Katrina,118.0,323529,"9/10/05, 12:00 p.m."
231,2005-08-29 17:00:00+00:00,FRCC,"City of Lakeland, Florida",Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,0.0,0,"9/08/05,12:01 a.m."
